id,name,categories,price,weight
a1c4ad23-36e2-44e9-971e-41e458e93b53,"amscan St. Patrick's Day Striped Green Fabric Leg Warmers, 1 Pair | Party Accessory","Clothing, Shoes & Jewelry | Novelty & More | Clothing | Novelty | Women | Socks & Hosiery | Leg Warmers",13.99,1.6
e73bcf48-b6aa-45a2-b322-04f1b65dc8e1,McFarlane Toys Five Nights at Freddy's Backstage 'Classic Series' Medium Construction Set,Toys & Games | Building Toys,21.99,1.0
09914bf3-9049-4c2e-8a62-2725fe26db51,Rubie's - Star Wars Girls X-Wing Fighter Girl Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",77377536.0,14.1
174ccab3-0f96-423f-bec3-75e0df07b4e0,4M Magical Animal Rock Painting DIY Craft Kit,Toys & Games | Arts & Crafts | Craft Kits,14.99,2.0
b2d270ce-55ba-4ad9-865e-010610e3e791,Jonti-Craft 10 Cubbie-Tray Mobile Unit with Clear Trays,"Home & Kitchen | Furniture | Kids' Furniture | Bookcases, Cabinets & Shelves",288.48,67.0
6170e113-e7a1-40af-8b86-d991769d2492,Buffalo Games - Travel The USA - 300 Large Piece Jigsaw Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,210397174.79,13.1
4f84331a-df9c-4c87-b8e7-a100e3818836,ALEX Spa Nail `Pressions - 2 Dye 4,Toys & Games | Arts & Crafts | Craft Kits,42281.33,0.32
16306020-e5cb-4d6a-af86-f06ee08bd968,Zombicide: Invader: Deck Holders Set,Toys & Games | Games & Accessories | Card Games,14.97,2.88
d582fa3c-54f7-49a8-adb1-39c9cd5c09ff,Forum Novelties Women's Big Baby Oversized Costume Bib and Bonnet Set,,10.0,1.0
4fe7053b-8a2c-4a98-b27c-a0e03f09caa3,Hazelnut Chipmunk Family,Toys & Games | Toy Figures & Playsets | Playsets & Vehicles | Playsets,8865483.84,4.8
3e36f34f-3826-4576-b113-0947777149d8,Super Wings – Advent Calendar | Countdown Calendar with Exclusive Characters & Accessories | 24 Gifts Included,,15.99,1.3
eecbd3b9-0892-471b-90f5-6bf56595905d,"The Kids Room by Stupell I Love You to The Moon and Back On Pink with White Border Rectangle Wall Plaque, 11 x 0.5 x 15, Proudly Made in USA",Baby Products | Nursery | Décor | Wall Décor | Wall Plaques,23.56,2.65
84693ef2-c9fe-44fd-b282-e3b52341fe45,Adventure Time Card Wars Sleeve Jake,Toys & Games | Games & Accessories | Card Games,2572500.0,3.2
0d049cd6-9243-4900-aeba-d2a8574051fa,"Tektrum 3 Piece 3pc Duvet Cover Set with Button Enclosure - 1800 Supreme Collection Super Soft Hotel Luxury Top Quality Durable 100 GSM Brushed Microfiber, Wrinkle & Fade Resistant - Grey, Queen Size",Home & Kitchen | Bedding | Kids' Bedding,22.82,3.1
a8ff9e7b-4607-43dd-93be-494eae5e3497,"Rubie's Deluxe Princess Emma Costume, Teal, Toddler",Toys & Games | Dress Up & Pretend Play | Costumes,10.75,1.45
7fb70dad-4bd2-4005-ade7-5a1edc0af9b2,Ultimate Guard Deck Box: Sidewinder 80+ ChromiaSkin Red,Toys & Games | Collectible Toys | Collectible Display & Storage | Card Storage & Display | Cases,19.14,5.0
eeaf2911-fcc4-4926-9ac9-fde2333587f3,Mudpuppy Dog Days Jumbo Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,14.99,1.54
a5c912f4-47c9-40ac-b38c-a29149fe9ed5,"Bepuzzled Original 3D Crystal Puzzle - Apple, Green - Fun yet challenging brain teaser that will test your skills and imagination, For Ages 12+",Toys & Games | Puzzles | Brain Teasers,1130904528849.92,8.8
33ff20e9-f3c5-416c-a34c-e2296e694316,"Diamond Select Toys Lost in Space Dr. Smith and B9 Robot Minimates, 2-Pack",,33820.9,2.4
89a591f8-2bb2-4561-92ee-09c8853d95ed,Disney Tsum Tsum Lights & Sounds Goofy Plush,Toys & Games | Stuffed Animals & Plush Toys,12.99,5.6
acdc2b1d-441e-45df-9905-e59d70acf910,"Perler 80-22860 Instruction Pad for Fuse Beads, 86 Patterns, Summertime Fun Piece","Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",796.67,6.1
0f867bec-00bc-485d-a14e-e2502a71a410,"girlzndollz Toddler Doll, Pink",Toys & Games | Dolls & Accessories | Dolls,16.46,8.8
